rule,date,rank,code,name,auction_pct,close_vs_open_pct,win,score
multifactor-shrunk-50,2026-08-18,4,600172,黄河旋风,2.786,2.199,1,82.429
multifactor-shrunk-50,2026-08-18,5,603036,如通股份,2.774,-2.482,0,78.287
multifactor-shrunk-50,2026-08-18,6,600339,中油工程,2.769,1.538,1,77.462
multifactor-shrunk-50,2026-08-18,7,002655,共达电声,2.623,5.758,1,77.14
multifactor-shrunk-50,2026-08-18,8,600313,农发种业,2.273,7.792,1,76.909
multifactor-shrunk-50,2026-08-18,9,002975,博杰股份,2.632,-3.679,0,76.811
multifactor-shrunk-50,2026-08-18,10,002743,富煌钢构,2.463,7.635,1,76.539
multifactor-shrunk-50,2026-08-19,1,000523,红棉股份,2.961,2.632,1,86.358
multifactor-shrunk-50,2026-08-19,2,603406,天富龙,2.673,1.252,1,82.572
multifactor-shrunk-50,2026-08-19,3,600113,浙江东日,2.301,-12.301,0,81.538
multifactor-shrunk-50,2026-08-19,4,600444,国机通用,2.724,-0.215,0,81.501
multifactor-shrunk-50,2026-08-19,5,603017,中衡设计,2.68,-7.32,0,79.421
multifactor-shrunk-50,2026-08-19,6,600992,贵绳股份,2.679,-7.44,0,78.825
multifactor-shrunk-50,2026-08-19,7,600343,航天动力,2.84,-11.802,0,77.525
multifactor-shrunk-50,2026-08-19,8,603801,志邦家居,3.015,7.035,1,76.961
multifactor-shrunk-50,2026-08-19,9,000998,隆平高科,2.495,-3.796,0,76.153
multifactor-shrunk-50,2026-08-19,10,601666,平煤股份,2.799,-1.399,0,74.282
multifactor-shrunk-50,2026-08-20,1,000919,金陵药业,2.899,-0.725,0,83.531
multifactor-shrunk-50,2026-08-20,2,000590,古汉医药,2.611,7.378,1,82.051
multifactor-shrunk-50,2026-08-20,3,600526,菲达环保,2.709,0.903,1,81.658
multifactor-shrunk-50,2026-08-20,4,603823,百合花,2.678,1.069,1,81.215
multifactor-shrunk-50,2026-08-20,5,002772,众兴菌业,2.627,-1.876,0,80.908
multifactor-shrunk-50,2026-08-20,6,001229,魅视科技,2.612,-1.144,0,80.161
multifactor-shrunk-50,2026-08-20,7,600420,国药现代,2.781,-0.811,0,80.127
multifactor-shrunk-50,2026-08-20,8,002815,崇达技术,2.74,-4.338,0,80.091
multifactor-shrunk-50,2026-08-20,9,600252,中恒集团,2.691,3.139,1,79.853
multifactor-shrunk-50,2026-08-20,10,603993,洛阳钼业,2.667,-1.167,0,79.712
multifactor-shrunk-50,2026-08-21,1,000007,全新好,2.895,0.331,1,85.158
multifactor-shrunk-50,2026-08-21,2,001360,南矿集团,2.816,-2.209,0,80.633
multifactor-shrunk-50,2026-08-21,3,603988,中电电机,2.736,-4.67,0,78.832
multifactor-shrunk-50,2026-08-21,4,603580,艾艾精工,3.089,4.92,1,76.591
multifactor-shrunk-50,2026-08-21,5,000426,兴业银锡,2.645,3.371,1,75.531
multifactor-shrunk-50,2026-08-21,6,000603,盛达资源,2.915,7.091,1,74.466
multifactor-shrunk-50,2026-08-21,7,002073,软控股份,3.333,0.877,1,73.554
multifactor-shrunk-50,2026-08-21,8,603626,科森科技,3.245,6.785,1,71.44
multifactor-shrunk-50,2026-08-21,9,000711,京蓝科技,3.11,2.291,1,70.938
multifactor-shrunk-50,2026-08-21,10,601877,正泰电器,1.865,-3.615,0,69.938
multifactor-shrunk-50,2026-08-24,1,600805,悦达投资,2.908,0.224,1,86.99
multifactor-shrunk-50,2026-08-24,2,002114,罗平锌电,2.869,-1.23,0,84.169
multifactor-shrunk-50,2026-08-24,3,600353,旭光电子,2.612,-5.904,0,83.445
multifactor-shrunk-50,2026-08-24,4,600508,上海能源,2.45,7.572,1,81.394
multifactor-shrunk-50,2026-08-24,5,002171,楚江新材,2.591,-1.347,0,80.42
multifactor-shrunk-50,2026-08-24,6,600697,欧亚集团,2.715,-1.779,0,80.182
multifactor-shrunk-50,2026-08-24,7,002738,中矿资源,2.578,-3.702,0,79.794
multifactor-shrunk-50,2026-08-24,8,002357,富临运业,2.831,-3.379,0,79.235
multifactor-shrunk-50,2026-08-24,9,000983,山西焦煤,2.186,-0.546,0,78.898
multifactor-shrunk-50,2026-08-24,10,605286,同力天启,2.729,7.263,1,77.285
multifactor-shrunk-50,2026-08-25,1,601388,怡球资源,2.687,-0.597,0,85.179
multifactor-shrunk-50,2026-08-25,2,003035,南网能源,2.967,-3.665,0,81.809
multifactor-shrunk-50,2026-08-25,3,002130,沃尔核材,2.647,4.789,1,76.179
multifactor-shrunk-50,2026-08-25,4,002666,德联集团,3.118,-1.918,0,75.79
multifactor-shrunk-50,2026-08-25,5,601137,博威合金,2.372,-0.825,0,73.923
multifactor-shrunk-50,2026-08-25,6,605303,园林股份,2.455,7.559,1,73.76
multifactor-shrunk-50,2026-08-25,7,002762,金发拉比,2.678,-5.149,0,69.538
multifactor-shrunk-50,2026-08-25,8,603580,艾艾精工,2.5,0.0,0,69.472
multifactor-shrunk-50,2026-08-25,9,600143,金发科技,3.006,-1.933,0,68.761
multifactor-shrunk-50,2026-08-25,10,600867,通化东宝,2.39,-0.503,0,67.56
multifactor-shrunk-50,2026-08-26,1,603095,越剑智能,2.927,-1.159,0,82.144
multifactor-shrunk-50,2026-08-26,2,000017,深中华A,2.791,7.209,1,81.808
multifactor-shrunk-50,2026-08-26,3,001285,瑞立科密,3.086,1.567,1,81.356
multifactor-shrunk-50,2026-08-26,4,600155,华创云信,3.03,0.168,1,77.852
multifactor-shrunk-50,2026-08-26,5,002639,雪人集团,3.046,-3.723,0,76.193
multifactor-shrunk-50,2026-08-26,6,603087,甘李药业,2.951,0.712,1,75.905
multifactor-shrunk-50,2026-08-26,7,600558,大西洋,2.469,-0.412,0,75.686
